timestamp,username,role,event,detail,ip
2026-05-20 11:28:37,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-20 11:29:37,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-20 11:29:37,Div-dev,admin,LOGOUT,,localhost
2026-05-22 10:56:02,Div-dev,admin,USER_CREATED,created user: testuser_pytest (role=user),localhost
2026-05-22 10:56:02,Div-dev,admin,USER_DELETED,deleted user: testuser_pytest,localhost
2026-05-22 11:07:51,Div-dev,admin,USER_CREATED,created user: testuser_pytest (role=user),localhost
2026-05-22 11:07:51,Div-dev,admin,USER_DELETED,deleted user: testuser_pytest,localhost
2026-05-22 12:14:40,Div-dev,admin,USER_CREATED,created user: testuser_pytest (role=user),localhost
2026-05-22 12:14:40,Div-dev,admin,USER_DELETED,deleted user: testuser_pytest,localhost
2026-05-22 12:15:00,Div-dev,admin,USER_CREATED,created user: testuser_pytest (role=user),localhost
2026-05-22 12:15:00,Div-dev,admin,USER_DELETED,deleted user: testuser_pytest,localhost
2026-05-23 00:08:07,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-23 00:08:08,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-23 00:08:18,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:08:25,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:08:41,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:09:01,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:12:49,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:12:56,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:13:30,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:13:51,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:13:52,Div-dev,admin,USER_CREATED,created user: Yugandhara@1 (role=user),localhost
2026-05-23 00:13:52,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:14:02,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:14:11,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:14:15,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:14:15,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:14:16,Div-dev,admin,PASSWORD_CHANGED,changed password for: Yugandhara@1,localhost
2026-05-23 00:14:58,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:15:01,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:15:02,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-23 00:15:02,Div-dev,admin,USER_DELETED,deleted user: Yugandhara@1,localhost
2026-05-23 00:15:02,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-06-12 02:21:26,Dev-Div,—,LOGIN_FAILED,username not found,localhost
2026-06-12 03:41:43,Div-Dev,—,LOGIN_FAILED,username not found,localhost
2026-06-12 03:41:50,Dev-div,—,LOGIN_FAILED,username not found,localhost
2026-06-12 03:41:57,Dev-Div,—,LOGIN_FAILED,username not found,localhost
2026-06-12 03:42:27,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-06-12 03:42:27,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-06-12 03:42:39,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-06-12 03:42:41,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-06-12 03:42:45,Div-dev,admin,PREDICTION_RUN,prob=0.21 risk=Low,localhost
2026-06-12 03:43:49,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:43:52,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:43:54,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:43:56,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:00,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:02,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:03,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:05,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-06-12 03:44:07,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
